trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach_unsup,config.beta_mach_sup,config.alpha_prof,config.alpha_mach,config.start_sup_time,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size,config.dataset_choice,config.scheduler_step,config.mp_hdims_aux,config.mp_hdims_cond,config.hidden_dims,config.elm_style_choice,config.loss_type
9a130_00449,0.36545053124427795,4.271916389465332,0.0004660268023144454,0.5810928344726562,1.0633504390716553,True,,,35,fa7b76b5b5934966b10f762d2daa64b8,2022-05-24_13-17-52,1653387472,35.66330146789551,2272817,dx6-mat-32,128.214.72.230,35.66330146789551,0,35,"449_alpha_prof=412,beta_mach_unsup=0.038,mach_latent_dim=11",0.003,11,3,5.0,0.038,10.0,412,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00450,0.19138650596141815,3.6722443103790283,0.5016306042671204,0.5951541066169739,1.0612201690673828,True,,,100,a46cb696e2074f43900e696aef0ec802,2022-05-24_13-19-38,1653387578,103.64565134048462,2276659,dx6-mat-32,128.214.72.230,103.64565134048462,0,100,"450_alpha_prof=799,beta_mach_unsup=0.0738,mach_latent_dim=9",0.003,9,3,5.0,0.0738,10.0,799,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00451,0.3673207759857178,3.4131991863250732,0.0009038674179464579,0.5687858462333679,1.0586323738098145,True,,,35,7f28ed534ba0451485489f490e9126cd,2022-05-24_13-18-58,1653387538,35.61613726615906,2279455,dx6-mat-32,128.214.72.230,35.61613726615906,0,35,"451_alpha_prof=134,beta_mach_unsup=0.0278,mach_latent_dim=7",0.003,7,3,5.0,0.027800000000000002,10.0,134,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00452,0.355228990316391,5.161988735198975,0.0016673370264470577,0.5635507702827454,1.0252439975738525,True,,,35,ce36bfa44e4f4975a8cf2743edcd2430,2022-05-24_13-19-36,1653387576,35.76615881919861,2283316,dx6-mat-32,128.214.72.230,35.76615881919861,0,35,"452_alpha_prof=541,beta_mach_unsup=0.0585,mach_latent_dim=11",0.003,11,3,5.0,0.0585,10.0,541,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00453,0.2964736521244049,2.9470231533050537,0.013980877585709095,0.6018350720405579,1.2262802124023438,True,,,70,7ca9308dceea4cb4b21ec47f4e72f177,2022-05-24_13-20-51,1653387651,73.19945907592773,2287071,dx6-mat-32,128.214.72.230,73.19945907592773,0,70,"453_alpha_prof=303,beta_mach_unsup=0.0034,mach_latent_dim=8",0.003,8,3,5.0,0.0034000000000000002,10.0,303,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00454,0.7298677563667297,1.0824447870254517,3.294519774499349e-05,0.6717612743377686,1.021005392074585,True,,,35,55e58672fcb946e4a696e08927e4f7b4,2022-05-24_13-20-17,1653387617,36.12558627128601,2287287,dx6-mat-32,128.214.72.230,36.12558627128601,0,35,"454_alpha_prof=243,beta_mach_unsup=0.0051,mach_latent_dim=6",0.003,6,3,5.0,0.0051,10.0,243,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00455,0.7226852774620056,77.36925506591797,0.0008565396419726312,1.0003255605697632,1.043869972229004,False,,,3,15859fea303d4b1bb64436cc0bf91fc2,2022-05-24_13-20-22,1653387622,3.079993724822998,2291187,dx6-mat-32,128.214.72.230,3.079993724822998,0,3,"455_alpha_prof=586,beta_mach_unsup=0.0001,mach_latent_dim=12",0.003,12,3,5.0,0.0001,10.0,586,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00456,0.3149941861629486,3.3238303661346436,0.20951777696609497,0.5951784253120422,1.1174395084381104,True,,,70,5b73519fb68d454aaeb991cdcdb2bf7c,2022-05-24_13-21-39,1653387699,74.02151250839233,2291745,dx6-mat-32,128.214.72.230,74.02151250839233,0,70,"456_alpha_prof=441,beta_mach_unsup=0.0141,mach_latent_dim=8",0.003,8,3,5.0,0.014100000000000001,10.0,441,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00457,0.20095419883728027,3.555342435836792,1.6683263778686523,0.6018485426902771,1.000204086303711,True,,,100,5762a1d713db405c82a65ab756e48eda,2022-05-24_13-22-37,1653387757,103.84636282920837,2294472,dx6-mat-32,128.214.72.230,103.84636282920837,0,100,"457_alpha_prof=999,beta_mach_unsup=0.004,mach_latent_dim=6",0.003,6,3,5.0,0.004,10.0,999,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
9a130_00458,0.42452654242515564,5.164961814880371,0.004149143118411303,0.5913335680961609,1.0618624687194824,True,,,35,03db0c7683234448aab015690ac23040,2022-05-24_13-22-17,1653387737,36.37859487533569,2299239,dx6-mat-32,128.214.72.230,36.37859487533569,0,35,"458_alpha_prof=330,beta_mach_unsup=0.0198,mach_latent_dim=10",0.003,10,3,5.0,0.0198,10.0,330,200.0,500.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple,semi-supervised-cutoff-increasing
