 Trial name                      , status     , loc                 ,   stoch_latent_dim ,   mach_latent_dim ,   alpha_prof ,   alpha_mach ,   beta_mach_unsup ,   beta_stoch ,     loss ,   loss_mp 
 train_model_on_tune_8a726_00143 , TERMINATED , 10.140.0.117:113328 ,5,11,500,500,0.005,1,0.163133,0.701956
 train_model_on_tune_8a726_00062 , TERMINATED , 10.140.0.117:96884  ,4,6,500,500,0.0001,1,0.165743,0.702627
 train_model_on_tune_8a726_00179 , TERMINATED , 10.140.0.117:35995  ,6,7,500,500,0.0005,1,0.169522,0.700579
 train_model_on_tune_8a726_00192 , TERMINATED , 10.140.0.117:67954  ,6,10,500,500,0.0001,1,0.183919,0.706744
 train_model_on_tune_8a726_00190 , TERMINATED , 10.140.0.117:60881  ,6,10,500,500,0.1,1,0.185781,0.696107
 train_model_on_tune_8a726_00193 , TERMINATED , 10.140.0.117:68722  ,6,10,500,500,0.005,1,0.195375,0.710122
 train_model_on_tune_8a726_00014 , ERROR      , 10.140.0.117:133982 ,3,7,500,500,0.0005,1,0.219679,0.716737
 train_model_on_tune_8a726_00040 , TERMINATED , 10.140.0.117:49601  ,3,13,500,500,0.1,1,0.312614,0.786361
 train_model_on_tune_8a726_00034 , TERMINATED , 10.140.0.117:133951 ,3,11,500,500,0.0005,1,0.321011,0.792032
 train_model_on_tune_8a726_00146 , TERMINATED , 10.140.0.117:116625 ,5,12,500,500,0.001,1,0.322165,0.798656
 train_model_on_tune_8a726_00043 , TERMINATED , 10.140.0.117:57515  ,3,13,500,500,0.005,1,0.322182,0.791706
 train_model_on_tune_8a726_00077 , TERMINATED , 10.140.0.117:128889 ,4,9,500,500,0.0001,1,0.324585,0.799995
 train_model_on_tune_8a726_00041 , TERMINATED , 10.140.0.117:56095  ,3,13,500,500,0.001,1,0.325481,0.805271
 train_model_on_tune_8a726_00202 , TERMINATED , 10.140.0.117:87652  ,6,12,500,500,0.0001,1,0.325757,0.790659
 train_model_on_tune_8a726_00044 , TERMINATED , 10.140.0.117:59494  ,3,13,500,500,0.0005,1,0.326081,0.787405
 train_model_on_tune_8a726_00149 , TERMINATED , 10.140.0.117:126227 ,5,12,500,500,0.0005,1,0.326163,0.788376
 train_model_on_tune_8a726_00031 , TERMINATED , 10.140.0.117:133945 ,3,11,500,500,0.001,1,0.326202,0.791876
 train_model_on_tune_8a726_00183 , TERMINATED , 10.140.0.117:47174  ,6,8,500,500,0.005,1,0.327355,0.790826
 train_model_on_tune_8a726_00201 , TERMINATED , 10.140.0.117:86763  ,6,12,500,500,0.001,1,0.328551,0.785943
 train_model_on_tune_8a726_00204 , TERMINATED , 10.140.0.117:88454  ,6,12,500,500,0.0005,1,0.328917,0.798608
 train_model_on_tune_8a726_00042 , TERMINATED , 10.140.0.117:56259  ,3,13,500,500,0.0001,1,0.328936,0.79125
 train_model_on_tune_8a726_00133 , TERMINATED , 10.140.0.117:90771  ,5,9,500,500,0.005,1,0.329098,0.799153
 train_model_on_tune_8a726_00072 , TERMINATED , 10.140.0.117:116784 ,4,8,500,500,0.0001,1,0.329293,0.792972
 train_model_on_tune_8a726_00119 , TERMINATED , 10.140.0.117:57263  ,5,6,500,500,0.0005,1,0.330143,0.789148
 train_model_on_tune_8a726_00182 , TERMINATED , 10.140.0.117:40794  ,6,8,500,500,0.0001,1,0.330367,0.794815
 train_model_on_tune_8a726_00132 , TERMINATED , 10.140.0.117:90310  ,5,9,500,500,0.0001,1,0.330685,0.800713
 train_model_on_tune_8a726_00145 , TERMINATED , 10.140.0.117:114026 ,5,12,500,500,0.1,1,0.331674,0.790394
 train_model_on_tune_8a726_00076 , TERMINATED , 10.140.0.117:124150 ,4,9,500,500,0.001,1,0.331888,0.796281
 train_model_on_tune_8a726_00134 , TERMINATED , 10.140.0.117:93067  ,5,9,500,500,0.0005,1,0.332085,0.80135
 train_model_on_tune_8a726_00148 , TERMINATED , 10.140.0.117:121842 ,5,12,500,500,0.005,1,0.33287,0.796752
 train_model_on_tune_8a726_00203 , TERMINATED , 10.140.0.117:87991  ,6,12,500,500,0.005,1,0.33344,0.788248
 train_model_on_tune_8a726_00131 , TERMINATED , 10.140.0.117:83915  ,5,9,500,500,0.001,1,0.333586,0.792892
 train_model_on_tune_8a726_00181 , TERMINATED , 10.140.0.117:38082  ,6,8,500,500,0.001,1,0.333641,0.793128
 train_model_on_tune_8a726_00015 , TERMINATED , 10.140.0.117:133967 ,3,8,500,500,0.1,1,0.333896,0.801471
 train_model_on_tune_8a726_00147 , TERMINATED , 10.140.0.117:119476 ,5,12,500,500,0.0001,1,0.333978,0.800805
 train_model_on_tune_8a726_00039 , TERMINATED , 10.140.0.117:133933 ,3,12,500,500,0.0005,1,0.334071,0.787614
 train_model_on_tune_8a726_00118 , TERMINATED , 10.140.0.117:53345  ,5,6,500,500,0.005,1,0.337333,0.790193
 train_model_on_tune_8a726_00061 , TERMINATED , 10.140.0.117:96421  ,4,6,500,500,0.001,1,0.337431,0.799656
 train_model_on_tune_8a726_00063 , TERMINATED , 10.140.0.117:98501  ,4,6,500,500,0.005,1,0.337448,0.807473
 train_model_on_tune_8a726_00094 , TERMINATED , 10.140.0.117:8968   ,4,12,500,500,0.0005,1,0.338257,0.803359
 train_model_on_tune_8a726_00117 , TERMINATED , 10.140.0.117:53323  ,5,6,500,500,0.0001,1,0.338313,0.799093
 train_model_on_tune_8a726_00184 , TERMINATED , 10.140.0.117:48914  ,6,8,500,500,0.0005,1,0.338996,0.790555
 train_model_on_tune_8a726_00200 , TERMINATED , 10.140.0.117:85601  ,6,12,500,500,0.1,1,0.339911,0.790982
 train_model_on_tune_8a726_00003 , TERMINATED , 10.140.0.117:134003 ,3,5,500,500,0.005,1,0.341516,0.808453
 train_model_on_tune_8a726_00112 , TERMINATED , 10.140.0.117:42244  ,5,5,500,500,0.0001,1,0.341729,0.790142
 train_model_on_tune_8a726_00079 , TERMINATED , 10.140.0.117:131897 ,4,9,500,500,0.0005,1,0.34191,0.793264
 train_model_on_tune_8a726_00006 , TERMINATED , 10.140.0.117:133999 ,3,6,500,500,0.001,1,0.342482,0.808904
 train_model_on_tune_8a726_00009 , TERMINATED , 10.140.0.117:133991 ,3,6,500,500,0.0005,1,0.344255,0.803546
 train_model_on_tune_8a726_00175 , TERMINATED , 10.140.0.117:26625  ,6,7,500,500,0.1,1,0.344537,0.80018
 train_model_on_tune_8a726_00000 , TERMINATED , 10.140.0.117:134008 ,3,5,500,500,0.1,1,0.345481,0.803215
 train_model_on_tune_8a726_00007 , TERMINATED , 10.140.0.117:133993 ,3,6,500,500,0.0001,1,0.346572,0.803831
 train_model_on_tune_8a726_00005 , TERMINATED , 10.140.0.117:134000 ,3,6,500,500,0.1,1,0.347901,0.80981
 train_model_on_tune_8a726_00180 , TERMINATED , 10.140.0.117:37368  ,6,8,500,500,0.1,1,0.348882,0.797204
 train_model_on_tune_8a726_00018 , TERMINATED , 10.140.0.117:133966 ,3,8,500,500,0.005,1,0.34977,0.802146
 train_model_on_tune_8a726_00026 , TERMINATED , 10.140.0.117:133947 ,3,10,500,500,0.001,1,0.350648,0.821849
 train_model_on_tune_8a726_00064 , TERMINATED , 10.140.0.117:99335  ,4,6,500,500,0.0005,1,0.350988,0.809408
 train_model_on_tune_8a726_00191 , TERMINATED , 10.140.0.117:67797  ,6,10,500,500,0.001,1,0.352495,0.817053
 train_model_on_tune_8a726_00027 , TERMINATED , 10.140.0.117:133950 ,3,10,500,500,0.0001,1,0.352813,0.807658
 train_model_on_tune_8a726_00141 , TERMINATED , 10.140.0.117:110688 ,5,11,500,500,0.001,1,0.352903,0.812715
 train_model_on_tune_8a726_00029 , TERMINATED , 10.140.0.117:133942 ,3,10,500,500,0.0005,1,0.353912,0.81345
 train_model_on_tune_8a726_00116 , TERMINATED , 10.140.0.117:49798  ,5,6,500,500,0.001,1,0.354389,0.804951
 train_model_on_tune_8a726_00168 , TERMINATED , 10.140.0.117:14118  ,6,5,500,500,0.005,1,0.354453,0.800005
 train_model_on_tune_8a726_00019 , TERMINATED , 10.140.0.117:133961 ,3,8,500,500,0.0005,1,0.356715,0.809967
 train_model_on_tune_8a726_00017 , TERMINATED , 10.140.0.117:133960 ,3,8,500,500,0.0001,1,0.35806,0.81465
 train_model_on_tune_8a726_00060 , TERMINATED , 10.140.0.117:94812  ,4,6,500,500,0.1,1,0.360471,0.813321
 train_model_on_tune_8a726_00186 , TERMINATED , 10.140.0.117:53826  ,6,9,500,500,0.001,1,0.362623,0.813789
 train_model_on_tune_8a726_00016 , TERMINATED , 10.140.0.117:133964 ,3,8,500,500,0.001,1,0.362634,0.819809
 train_model_on_tune_8a726_00055 , TERMINATED , 10.140.0.117:80145  ,4,5,500,500,0.1,1,0.363838,0.814776
