trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach_unsup,config.beta_mach_sup,config.alpha_prof,config.alpha_mach,config.start_sup_time,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size,config.dataset_choice,config.scheduler_step,config.mp_hdims_aux,config.mp_hdims_cond
aa7e5_00011,0.16822971403598785,20.791379928588867,1.3616691827774048,0.6937012076377869,2.276228189468384,True,,,50,b24bbb5f17104222a23fe3ac7b2e4458,2022-04-27_00-57-56,1651010276,118.60311007499695,537306,adam-der-physiker,192.168.1.121,118.60311007499695,0,50,"11_alpha_prof=469,beta_mach_unsup=0.0003",0.003,9,3,1.0,0.00030000000000000003,10.0,469,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00012,0.3871060609817505,21.24578094482422,4.048654079437256,0.8362157940864563,2.3766586780548096,True,,,35,8e2626bf34db4b628b75b9f19ba3ecb9,2022-04-27_00-57-42,1651010262,81.11675572395325,538875,adam-der-physiker,192.168.1.121,81.11675572395325,0,35,"12_alpha_prof=823,beta_mach_unsup=0.0003",0.003,9,3,1.0,0.00030000000000000003,10.0,823,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00013,0.39402276277542114,23.133920669555664,1.506612777709961,0.8445135354995728,2.216306686401367,True,,,35,f21735c875af4bafac740484767cedf0,2022-04-27_00-59-05,1651010345,80.38075757026672,545259,adam-der-physiker,192.168.1.121,80.38075757026672,0,35,"13_alpha_prof=687,beta_mach_unsup=0.0003",0.003,9,3,1.0,0.00030000000000000003,10.0,687,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00014,0.34067901968955994,14.67189884185791,4.908034801483154,0.8369749188423157,2.222916841506958,True,,,50,b43fb9d4e5b74cb297ae6c3239952906,2022-04-27_00-59-54,1651010394,115.91354870796204,546167,adam-der-physiker,192.168.1.121,115.91354870796204,0,50,"14_alpha_prof=562,beta_mach_unsup=0.0005",0.003,9,3,1.0,0.0005,10.0,562,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00015,0.17689460515975952,12.337908744812012,0.051711950451135635,0.6959656476974487,2.2179601192474365,True,,,50,58e329ccc54a4b8c9c5234521fb72e23,2022-04-27_01-01-02,1651010462,114.38720774650574,551526,adam-der-physiker,192.168.1.121,114.38720774650574,0,50,"15_alpha_prof=278,beta_mach_unsup=0.0373",0.003,9,3,1.0,0.0373,10.0,278,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00016,0.333927184343338,14.38509750366211,4.277113914489746,0.8172420263290405,2.191617727279663,True,,,50,5c4bb763ecba4502adcf84018143ec3b,2022-04-27_01-01-52,1651010512,115.2343635559082,555271,adam-der-physiker,192.168.1.121,115.2343635559082,0,50,"16_alpha_prof=663,beta_mach_unsup=0.0154",0.003,9,3,1.0,0.0154,10.0,663,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00017,0.15722499787807465,13.81966781616211,5.5686445236206055,0.701227605342865,2.2018909454345703,True,,,50,bf53ed4b5b204d1c9abd00cca87454fa,2022-04-27_01-03-00,1651010580,115.65463209152222,560394,adam-der-physiker,192.168.1.121,115.65463209152222,0,50,"17_alpha_prof=983,beta_mach_unsup=0.0981",0.003,9,3,1.0,0.0981,10.0,983,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00018,0.38839855790138245,14.310824394226074,3.530353307723999,0.83795565366745,2.2275803089141846,True,,,35,12fbcc85a5564414afe5282597f96ef9,2022-04-27_01-03-15,1651010595,80.65436363220215,564208,adam-der-physiker,192.168.1.121,80.65436363220215,0,35,"18_alpha_prof=956,beta_mach_unsup=0.0345",0.003,9,3,1.0,0.0345,10.0,956,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00019,0.17439427971839905,14.822203636169434,0.1502591371536255,0.7018894553184509,2.254892587661743,True,,,50,8629c118009e4f1ba84d0269a3da5aa8,2022-04-27_01-04-57,1651010697,115.48214602470398,569435,adam-der-physiker,192.168.1.121,115.48214602470398,0,50,"19_alpha_prof=378,beta_mach_unsup=0.0017",0.003,9,3,1.0,0.0017000000000000001,10.0,378,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
aa7e5_00020,0.3920869827270508,15.814513206481934,0.06943876296281815,0.8309963345527649,2.2159042358398438,True,,,35,5282545726494e40aa5dab682484f7dc,2022-04-27_01-04-38,1651010678,80.80862236022949,570477,adam-der-physiker,192.168.1.121,80.80862236022949,0,35,"20_alpha_prof=905,beta_mach_unsup=0.0241",0.003,9,3,1.0,0.0241,10.0,905,500.0,1000.0,False,0.0,128,SANDBOX_NO_VARIATIONS,0.0,"[64, 32]","[64, 32]"
