,shot,dda,FLAG:HRTSdatavalidated
167,76678.0,T002/pbohm,2.0
168,76679.0,T002/pbohm,1.0
169,76680.0,T001/pbohm,1.0
170,76681.0,T001/pbohm,1.0
171,76683.0,T002/pbohm,1.0
172,76683.0,T003/pbohm,1.0
173,76684.0,T001/pbohm,1.0
174,76685.0,T001/pbohm,2.0
175,76686.0,T001/pbohm,2.0
176,76688.0,T001/pbohm,1.0
177,76690.0,T002/pbohm,1.0
178,76691.0,T001/pbohm,1.0
179,76753.0,T001/pbohm,1.0
180,76755.0,T001/pbohm,1.0
181,76854.0,T001/pbohm,1.0
182,76791.0,T001/pbohm,1.0
183,76791.0,T002/pbohm,1.0
184,76855.0,T001/pbohm,1.0
185,76855.0,T002/pbohm,1.0
186,76857.0,T001/pbohm,1.0
187,76858.0,T001/pbohm,1.0
188,76893.0,T001/pbohm,1.0
189,76893.0,T002/pbohm,1.0
190,76896.0,T005/pbohm,1.0
191,76896.0,T006/pbohm,1.0
192,76901.0,T001/pbohm,3.0
193,77043.0,T001/pbohm,1.0
194,77152.0,T001/pbohm,0.0
195,77154.0,T001/pbohm,1.0
196,77269.0,T001/pbilkova,1.0
197,77270.0,T001/pbilkova,1.0
198,77271.0,T001/pbilkova,1.0
199,77272.0,T001/pbilkova,1.0
200,77344.0,T001/pbilkova,1.0
201,77347.0,T001/pbilkova,1.0
202,77346.0,T001/pbilkova,1.0
203,77348.0,T001/pbilkova,1.0
204,77349.0,T001/pbilkova,1.0
205,77351.0,T001/pbilkova,1.0
206,77362.0,T001/pbilkova,1.0
207,77363.0,T001/pbilkova,1.0
208,77363.0,T002/pbilkova,1.0
209,77364.0,T001/pbilkova,1.0
210,77364.0,T002/pbilkova,1.0
211,77369.0,T001/pbilkova,1.0
212,77370.0,T001/pbilkova,1.0
213,77371.0,T001/pbilkova,1.0
214,77371.0,T002/pbilkova,1.0
215,77375.0,T001/pbilkova,1.0
216,77375.0,T002/pbilkova,1.0
217,77723.0,T001/pbilkova,1.0
218,77759.0,T001/pbohm,1.0
219,77760.0,T001/pbohm,1.0
220,77761.0,T001/pbohm,1.0
221,77764.0,T001/pbohm,1.0
222,77764.0,T002/pbohm,1.0
223,77793.0,T001/pbilkova,1.0
224,77798.0,T001/pbilkova,1.0
225,77802.0,T001/pbilkova,1.0
226,77908.0,T001/pbilkova,1.0
227,77910.0,T001/pbilkova,1.0
228,77910.0,T001/pbohm,1.0
229,77912.0,T001/pbohm,1.0
230,77912.0,T002/pbohm,1.0
231,77914.0,T002/pbohm,1.0
232,77914.0,T003/pbohm,1.0
233,77915.0,T001/pbohm,1.0
234,77915.0,T002/pbohm,1.0
235,77919.0,T001/pbilkova,1.0
236,77920.0,T001/pbilkova,1.0
237,77922.0,T001/pbohm,1.0
238,77923.0,T001/pbohm,1.0
239,77924.0,T001/pbohm,1.0
240,77925.0,T003/pbohm,1.0
241,77926.0,T001/pbilkova,1.0
242,77927.0,T001/pbohm,1.0
243,77927.0,T002/pbohm,1.0
244,77929.0,T001/pbilkova,1.0
245,77932.0,T001/pbohm,1.0
246,77933.0,T003/pbohm,1.0
247,77933.0,T004/pbohm,1.0
248,77942.0,T001/pbilkova,1.0
249,77943.0,T001/pbilkova,1.0
