trial_id,loss,KLD_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.latent_dim,config.beta,config.num_conv_blocks,config.num_trans_conv_blocks,config.hidden_dims
dd087_00111,0.5650514364242554,-8.916731530916877e-08,5.970477104187012,True,,,30,7dadaef9ac4f4f3bad4d5868b5d58325,2021-12-15_20-32-39,1639593159,176.50451755523682,126823,r13c24.bullx,10.140.2.218,176.50451755523682,0,30,111_beta=1.0003,5,1.000326906136534,2,3,"[4, 2, 1]"
dd087_00112,0.5650485157966614,-1.3758643717665109e-06,5.810556888580322,True,,,30,25e2640c76444dc1a1248b32e6806bf7,2021-12-15_20-34-33,1639593273,174.49098134040833,195288,r13c24.bullx,10.140.2.218,174.49098134040833,0,30,112_beta=0.0057744,5,0.005774387397146288,2,3,"[4, 2, 1]"
dd087_00113,0.015431513078510761,-87.02359008789062,6.041015863418579,True,,,60,db1d0ee985404e3b8810eca63b8c7453,2021-12-15_20-38-29,1639593509,350.036785364151,231339,r13c24.bullx,10.140.2.218,350.036785364151,0,60,113_beta=1.4267e-07,5,1.426710110384306e-07,2,3,"[4, 2, 1]"
dd087_00114,0.5650491714477539,-8.926076588977594e-08,5.943342924118042,True,,,30,5db2c26774314df6bddfc455ff5c1a42,2021-12-15_20-35-39,1639593339,176.72877168655396,232786,r13c24.bullx,10.140.2.218,176.72877168655396,0,30,114_beta=0.18337,5,0.18336546242890325,2,3,"[4, 2, 1]"
dd087_00115,0.5650485754013062,-1.2169341800927214e-07,5.7164342403411865,True,,,30,ac108812633d47449eef03ce9ebe509a,2021-12-15_20-37-34,1639593454,177.2735903263092,30336,r13c24.bullx,10.140.2.218,177.2735903263092,0,30,115_beta=0.035407,5,0.035407265911925064,2,3,"[4, 2, 1]"
dd087_00116,0.5650507807731628,-8.898237524590513e-08,5.855983257293701,True,,,30,7bba3b0326594c579f0b8247cadc0689,2021-12-15_20-38-38,1639593518,175.73094272613525,69695,r13c24.bullx,10.140.2.218,175.73094272613525,0,30,116_beta=0.75515,5,0.7551495566886598,2,3,"[4, 2, 1]"
dd087_00117,0.010806799866259098,-488.52081298828125,5.888615846633911,True,,,240,ef91337aeeb449eb8322760bbd0678d7,2021-12-15_21-01-28,1639594888,1431.1084072589874,137169,r13c24.bullx,10.140.2.218,1431.1084072589874,0,240,117_beta=1.4672e-09,5,1.4672218163155908e-09,2,3,"[4, 2, 1]"
dd087_00118,0.09688122570514679,-4.455393314361572,5.631783485412598,True,,,30,a1be439349e446ed9b9e6299997db461,2021-12-15_20-41-28,1639593688,175.69044613838196,169175,r13c24.bullx,10.140.2.218,175.69044613838196,0,30,118_beta=0.0001907,5,0.00019070324571471438,2,3,"[4, 2, 1]"
dd087_00119,0.024306559935212135,-15.69209098815918,5.451085567474365,True,,,60,0501958ea1444f29b1672d42e0dc4207,2021-12-15_20-44-34,1639593874,352.2643151283264,174173,r13c24.bullx,10.140.2.218,352.2643151283264,0,60,119_beta=1.4575e-05,5,1.4575130896921349e-05,2,3,"[4, 2, 1]"
dd087_00120,0.02261626161634922,-18.48748779296875,5.730437994003296,True,,,60,12a59786eeed4801a3581a5db9669c19,2021-12-15_20-45-01,1639593901,349.6475496292114,192330,r13c24.bullx,10.140.2.218,349.6475496292114,0,60,120_beta=6.9182e-06,5,6.918233701466997e-06,2,3,"[4, 2, 1]"
dd087_00121,0.13141684234142303,-3.690802812576294,5.786561727523804,True,,,30,794fd86d105949f5a61a102c25e0fda3,2021-12-15_20-42-39,1639593759,173.6207127571106,211972,r13c24.bullx,10.140.2.218,173.6207127571106,0,30,121_beta=0.00038309,5,0.00038309032946363947,2,3,"[4, 2, 1]"
dd087_00122,0.5650484561920166,-3.456360104792111e-07,5.940268278121948,True,,,30,99851b571a6e497882fd93cc9d2677fe,2021-12-15_20-44-26,1639593866,174.8356807231903,4366,r13c24.bullx,10.140.2.218,174.8356807231903,0,30,122_beta=0.013062,5,0.013061505532787293,2,3,"[4, 2, 1]"
dd087_00123,0.023112649098038673,-18.10582733154297,6.009298086166382,True,,,60,4abe5ad1b85746948687a6421233d42c,2021-12-15_20-48-38,1639594118,354.70740365982056,46542,r13c24.bullx,10.140.2.218,354.70740365982056,0,60,123_beta=7.4874e-06,5,7.4874063357881585e-06,2,3,"[4, 2, 1]"
dd087_00124,0.010805340483784676,-367.8218078613281,5.576485872268677,True,,,240,be898a0bb94a49f49a0e7194982e9556,2021-12-15_21-07-56,1639595276,1406.6224541664124,109298,r13c24.bullx,10.140.2.218,1406.6224541664124,0,240,124_beta=2.7121e-09,5,2.712138020047828e-09,2,3,"[4, 2, 1]"
dd087_00125,0.024048984050750732,-15.790553092956543,5.8209521770477295,True,,,60,e699955b72db4bba97f47dd5accc5c64,2021-12-15_20-50-28,1639594228,351.1279892921448,113498,r13c24.bullx,10.140.2.218,351.1279892921448,0,60,125_beta=1.417e-05,5,1.4170050301893945e-05,2,3,"[4, 2, 1]"
dd087_00126,0.5650498270988464,-8.76068781963113e-08,5.636305809020996,True,,,30,e0b55e6a0ce2464b8ae2d81908897d75,2021-12-15_20-48-00,1639594080,176.12763357162476,130557,r13c24.bullx,10.140.2.218,176.12763357162476,0,30,126_beta=0.44174,5,0.44173838825232814,2,3,"[4, 2, 1]"
