trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size
2a038_00139,0.21355876326560974,32.7396125793457,0.014562646858394146,0.6386727690696716,5.959238052368164,True,,,40.0,a92c8a7a489a47a48764522ff98bff1a,2022-04-06_08-15-44,1649222144.0,241.53824710845947,627318.0,adam-der-physiker,192.168.0.9,241.53824710845947,0.0,40.0,"139_encoder_end_dense_size=192,mach_latent_dim=8",0.003,8.0,3.0,0.001,100.0,1.0,1.0,False,0.0,192.0
2a038_00140,0.07214672863483429,54.027915954589844,1.4263962507247925,0.522234320640564,6.740133762359619,True,,,50.0,1112a7508c264e2f84fa1154cc3df1af,2022-04-06_08-18-09,1649222289.0,337.2977397441864,628808.0,adam-der-physiker,192.168.0.9,337.2977397441864,0.0,50.0,"140_encoder_end_dense_size=880,mach_latent_dim=8",0.003,8.0,3.0,0.001,100.0,1.0,1.0,False,0.0,880.0
2a038_00141,0.0597495473921299,58.09630584716797,2.45461106300354,0.49895691871643066,6.772698879241943,True,,,50.0,c6f5b614f0144e4e94e60e63fa8f8676,2022-04-06_08-21-31,1649222491.0,344.352676153183,634565.0,adam-der-physiker,192.168.0.9,344.352676153183,0.0,50.0,"141_encoder_end_dense_size=864,mach_latent_dim=9",0.003,9.0,3.0,0.001,100.0,1.0,1.0,False,0.0,864.0
2a038_00142,0.06410915404558182,70.38336944580078,2.9751200675964355,0.5046906471252441,6.286725282669067,False,,,45.0,5f7b2b1991b2453a87a65e04a21f4a3d,2022-04-06_08-22-59,1649222579.0,288.10731291770935,638554.0,adam-der-physiker,192.168.0.9,288.10731291770935,0.0,45.0,"142_encoder_end_dense_size=496,mach_latent_dim=9",0.003,9.0,3.0,0.001,100.0,1.0,1.0,False,0.0,496.0
2a038_00143,0.10122766345739365,44.407161712646484,2.4576244354248047,0.5156669020652771,6.701603412628174,True,,,50.0,17b1d3435b054038a9ff3186216c8ba0,2022-04-06_08-27-07,1649222827.0,333.82924580574036,644330.0,adam-der-physiker,192.168.0.9,333.82924580574036,0.0,50.0,"143_encoder_end_dense_size=800,mach_latent_dim=8",0.003,8.0,3.0,0.001,100.0,1.0,1.0,False,0.0,800.0
2a038_00144,0.0641346424818039,49.38121795654297,0.7478250861167908,0.5221797227859497,6.452121257781982,True,,,50.0,172e5598a0864f2c9ee672ca395503c2,2022-04-06_08-28-27,1649222907.0,323.8910572528839,646883.0,adam-der-physiker,192.168.0.9,323.8910572528839,0.0,50.0,"144_encoder_end_dense_size=528,mach_latent_dim=9",0.003,9.0,3.0,0.001,100.0,1.0,1.0,False,0.0,528.0
2a038_00145,0.07743970304727554,51.21623229980469,1.0516647100448608,0.5218756198883057,6.878050804138184,False,,,32.0,4702bd2df4584ed4a045c8dc15b5121a,2022-04-06_08-30-52,1649223052.0,223.3514416217804,653967.0,adam-der-physiker,192.168.0.9,223.3514416217804,0.0,32.0,"145_encoder_end_dense_size=944,mach_latent_dim=13",0.003,13.0,3.0,0.001,100.0,1.0,1.0,False,0.0,944.0
2a038_00146,0.3401566445827484,82.84051513671875,0.15014587342739105,0.5644304752349854,6.5842649936676025,False,,,22.0,505bc53e9ce6437c9ddc4ba37a0181c4,2022-04-06_08-31-01,1649223061.0,151.42192196846008,656202.0,adam-der-physiker,192.168.0.9,151.42192196846008,0.0,22.0,"146_encoder_end_dense_size=720,mach_latent_dim=13",0.003,13.0,3.0,0.001,100.0,1.0,1.0,False,0.0,720.0
2a038_00147,0.326552152633667,46.32491683959961,0.8674663305282593,0.5113743543624878,6.173341512680054,True,,,50.0,ecad15959eb9446fbbc9ec7beb9a26dd,2022-04-06_08-36-05,1649223365.0,309.0555398464203,660370.0,adam-der-physiker,192.168.0.9,309.0555398464203,0.0,50.0,"147_encoder_end_dense_size=384,mach_latent_dim=13",0.003,13.0,3.0,0.001,100.0,1.0,1.0,False,0.0,384.0
2a038_00148,0.05626595392823219,32.410362243652344,1.8928695917129517,0.5094881653785706,5.919932842254639,True,,,50.0,48cfbd8b989d4fc896354884c0899026,2022-04-06_08-36-01,1649223361.0,297.90406918525696,660581.0,adam-der-physiker,192.168.0.9,297.90406918525696,0.0,50.0,"148_encoder_end_dense_size=128,mach_latent_dim=10",0.003,10.0,3.0,0.001,100.0,1.0,1.0,False,0.0,128.0
