trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach
ed8eb_00000,0.21420420706272125,73.20677947998047,4.005446434020996,0.6341933012008667,5.0488176345825195,True,,,40,a84c5356d9f643e180ce49e4c1684ac0,2022-02-13_13-17-03,1644751023,231.37708926200867,206683,g6301.mahti.csc.fi,10.141.5.208,231.37708926200867,0,40,"0_beta_stoch=0.0002,mach_latent_dim=14",0.003,14,0.0002,250,1.0,1.0
ed8eb_00001,0.7370331883430481,11.938742637634277,6.8940921664761845e-06,0.5080758333206177,5.023997783660889,True,,,40,73516cd01dc64ad4bd597bee40ba8b55,2022-02-13_13-17-05,1644751025,230.55614185333252,206599,g6301.mahti.csc.fi,10.141.5.208,230.55614185333252,0,40,"1_beta_stoch=0.03255,mach_latent_dim=6",0.003,6,0.03255,250,1.0,1.0
ed8eb_00002,0.3190935552120209,33.3162727355957,0.010083196684718132,0.6602891087532043,4.992578983306885,True,,,40,8f97122a5b8748f7a06b584abc9adee6,2022-02-13_13-17-05,1644751025,230.56388664245605,206553,g6301.mahti.csc.fi,10.141.5.208,230.56388664245605,0,40,"2_beta_stoch=0.01,mach_latent_dim=5",0.003,5,0.01,250,1.0,1.0
ed8eb_00003,0.06597176939249039,13.308117866516113,8.915935904951766e-05,0.5098111629486084,4.558048963546753,True,,,50,2ffc43c3eff946e39d3c48076c5a4f91,2022-02-13_13-17-52,1644751072,278.0599162578583,206686,g6301.mahti.csc.fi,10.141.5.208,278.0599162578583,0,50,"3_beta_stoch=0.12475,mach_latent_dim=8",0.003,8,0.12475,250,1.0,1.0
ed8eb_00004,0.30750077962875366,13.415091514587402,0.0001796710566850379,0.6560903191566467,5.020854949951172,True,,,40,fe4f67c064ec4998a89e92a019aaa7f3,2022-02-13_13-17-04,1644751024,229.62829041481018,206640,g6301.mahti.csc.fi,10.141.5.208,229.62829041481018,0,40,"4_beta_stoch=0.01995,mach_latent_dim=5",0.003,5,0.019950000000000002,250,1.0,1.0
ed8eb_00005,0.058148544281721115,44.53785705566406,9.194925308227539,0.4981927275657654,4.454686880111694,True,,,50,cfb7ddcdcbd1473b97dcaea7584765e3,2022-02-13_13-17-53,1644751073,278.32144832611084,206681,g6301.mahti.csc.fi,10.141.5.208,278.32144832611084,0,50,"5_beta_stoch=0.0002,mach_latent_dim=11",0.003,11,0.0002,250,1.0,1.0
ed8eb_00006,0.21129979193210602,16.038972854614258,0.001268209656700492,0.6307688355445862,4.908746957778931,True,,,50,57c35d305a1b4c128fd89d8cae2da0df,2022-02-13_13-17-51,1644751071,276.7067391872406,206682,g6301.mahti.csc.fi,10.141.5.208,276.7067391872406,0,50,"6_beta_stoch=0.0303,mach_latent_dim=8",0.003,8,0.0303,250,1.0,1.0
ed8eb_00007,0.06601984798908234,39.951351165771484,1.7188798189163208,0.5090776085853577,4.980648756027222,True,,,50,d0e2091394194fc8972fa00fb35eee4c,2022-02-13_13-17-51,1644751071,276.96873688697815,206665,g6301.mahti.csc.fi,10.141.5.208,276.96873688697815,0,50,"7_beta_stoch=0.00095,mach_latent_dim=8",0.003,8,0.00095,250,1.0,1.0
ed8eb_00008,0.0682109072804451,15.62651538848877,0.0004972176975570619,0.5219168066978455,5.1266443729400635,True,,,50,2d2aaade493547cb804ac38631fee635,2022-02-13_13-21-28,1644751288,262.8939371109009,206590,g6301.mahti.csc.fi,10.141.5.208,262.8939371109009,0,50,"8_beta_stoch=0.0318,mach_latent_dim=7",0.003,7,0.0318,250,1.0,1.0
ed8eb_00009,0.7370331883430481,2.8058996200561523,1.60134106863552e-06,0.6811249256134033,4.936339378356934,True,,,40,07aa946994334348ad780ee2d8b8c4ab,2022-02-13_13-20-42,1644751242,215.59231615066528,206613,g6301.mahti.csc.fi,10.141.5.208,215.59231615066528,0,40,"9_beta_stoch=0.7999,mach_latent_dim=6",0.003,6,0.7999,250,1.0,1.0
ed8eb_00010,0.7370331883430481,23.542003631591797,1.6704136214684695e-05,0.5172532796859741,4.924561262130737,True,,,40,862771b483bf46e591f4fbdab7df3990,2022-02-13_13-20-40,1644751240,213.32063627243042,206664,g6301.mahti.csc.fi,10.141.5.208,213.32063627243042,0,40,"10_beta_stoch=0.00075,mach_latent_dim=6",0.003,6,0.00075,250,1.0,1.0
ed8eb_00011,0.0640241876244545,11.691363334655762,0.00020445972040761262,0.5381336212158203,4.417758226394653,True,,,50,75374fc7f34e498e8f4432ccd8b8f7e7,2022-02-13_13-21-26,1644751286,259.3706274032593,206638,g6301.mahti.csc.fi,10.141.5.208,259.3706274032593,0,50,"11_beta_stoch=0.1614,mach_latent_dim=7",0.003,7,0.16140000000000002,250,1.0,1.0
ed8eb_00012,0.205952450633049,57.84444808959961,3.4813342094421387,0.6275595426559448,5.08491587638855,True,,,50,481d00179ce44e6fbc35b4f10943984a,2022-02-13_13-22-13,1644751333,259.89874839782715,206482,g6301.mahti.csc.fi,10.141.5.208,259.89874839782715,0,50,"12_beta_stoch=0.00015,mach_latent_dim=14",0.003,14,0.00015000000000000001,250,1.0,1.0
ed8eb_00013,0.2189008742570877,82.91001892089844,2.134822130203247,0.6357810497283936,4.879116058349609,True,,,40,18a6455077b44e1e93b6380c1e615ce3,2022-02-13_13-21-21,1644751281,207.8437044620514,206579,g6301.mahti.csc.fi,10.141.5.208,207.8437044620514,0,40,"13_beta_stoch=0.00035,mach_latent_dim=14",0.003,14,0.00035,250,1.0,1.0
ed8eb_00014,0.7370331883430481,8.835953712463379,8.282637281809002e-06,0.6506394743919373,4.839209794998169,True,,,40,564ab50f9fe2459cb21fc8c692035b1a,2022-02-13_13-21-26,1644751286,211.74009156227112,206514,g6301.mahti.csc.fi,10.141.5.208,211.74009156227112,0,40,"14_beta_stoch=0.0617,mach_latent_dim=6",0.003,6,0.061700000000000005,250,1.0,1.0
ed8eb_00015,0.7370331883430481,23.61882209777832,1.1360396456439048e-05,0.5034487247467041,5.963916301727295,True,,,40,85ab2f1786fe4c34b0ef48ad2dc80d90,2022-02-13_13-21-28,1644751288,213.60090970993042,206571,g6301.mahti.csc.fi,10.141.5.208,213.60090970993042,0,40,"15_beta_stoch=0.00075,mach_latent_dim=6",0.003,6,0.00075,250,1.0,1.0
ed8eb_00016,0.10305768251419067,6.92600679397583,2.3207265257951804e-05,0.5381477475166321,5.148799180984497,True,,,50,70e85e81ad1b4508806f5b34ab04f6d2,2022-02-13_13-25-03,1644751503,260.98052620887756,206570,g6301.mahti.csc.fi,10.141.5.208,260.98052620887756,0,50,"16_beta_stoch=0.5748,mach_latent_dim=10",0.003,10,0.5748,250,1.0,1.0
ed8eb_00017,0.06599245965480804,66.2575912475586,2.932269334793091,0.5160627365112305,4.72406530380249,True,,,50,a712e323e67a4d91b56bd5ee8531c145,2022-02-13_13-25-10,1644751510,266.05194211006165,204756,g6301.mahti.csc.fi,10.141.5.208,266.05194211006165,0,50,"17_beta_stoch=0.0011,mach_latent_dim=10",0.003,10,0.0011,250,1.0,1.0
