trial_id,loss,KLD_mach,KLD_stoch,loss_mp,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.LR,config.mach_latent_dim,config.beta_stoch,config.beta_mach,config.alpha_prof,config.alpha_mach
61aa9_00388,0.0925258994102478,19.43803596496582,0.004634877201169729,0.5212056636810303,5.368346214294434,True,,,50,ce5b1bb2f66a4e84afc7cce2dbd5f994,2022-02-13_16-21-49,1644762109,277.8419487476349,141097,g6201.mahti.csc.fi,10.141.5.206,277.8419487476349,0,50,"388_beta_stoch=0.0043,mach_latent_dim=7",0.003,7,0.0043,100,1.0,1.0
61aa9_00389,0.7369781732559204,19.986608505249023,8.294381586892996e-06,0.5031576752662659,5.198317050933838,True,,,40,782aab555aa14d92b3b1b47c02ff0118,2022-02-13_16-21-18,1644762078,216.7073199748993,146495,g6201.mahti.csc.fi,10.141.5.206,216.7073199748993,0,40,"389_beta_stoch=0.0049,mach_latent_dim=9",0.003,9,0.0049,100,1.0,1.0
61aa9_00390,0.7367736101150513,2.4666731357574463,4.426944542501587e-06,0.6797524690628052,5.746804475784302,True,,,40,9c9266eb05fc4a31a36cc5edeaedc115,2022-02-13_16-22-05,1644762125,225.16155815124512,152809,g6201.mahti.csc.fi,10.141.5.206,225.16155815124512,0,40,"390_beta_stoch=0.69445,mach_latent_dim=13",0.003,13,0.69445,100,1.0,1.0
61aa9_00391,0.5020478367805481,18.578161239624023,0.0004907568218186498,0.5013488531112671,5.330843448638916,True,,,40,35bf3350eb1c49009ad5dd596dcea894,2022-02-13_16-22-05,1644762125,210.74627876281738,156411,g6201.mahti.csc.fi,10.141.5.206,210.74627876281738,0,40,"391_beta_stoch=0.01345,mach_latent_dim=11",0.003,11,0.01345,100,1.0,1.0
61aa9_00392,0.7370331883430481,17.346599578857422,1.8511022062739357e-05,0.6362126469612122,5.064366340637207,True,,,40,446d124d3ba644549c2145883a4e454e,2022-02-13_16-23-15,1644762195,218.86841440200806,165050,g6201.mahti.csc.fi,10.141.5.206,218.86841440200806,0,40,"392_beta_stoch=0.002,mach_latent_dim=6",0.003,6,0.002,100,1.0,1.0
61aa9_00393,0.0741705670952797,28.617815017700195,0.13303986191749573,0.5135653614997864,5.399889707565308,True,,,50,5353e94b996341b6accfb13d5c1dbd96,2022-02-13_16-24-22,1644762262,275.78608560562134,165882,g6201.mahti.csc.fi,10.141.5.206,275.78608560562134,0,50,"393_beta_stoch=0.0023,mach_latent_dim=8",0.003,8,0.0023,100,1.0,1.0
61aa9_00394,0.07369573414325714,16.9642333984375,0.0015816922532394528,0.5142659544944763,5.530273675918579,True,,,50,e8f71b0681d1405487981cd56c64017c,2022-02-13_16-24-27,1644762267,280.0229082107544,168208,g6201.mahti.csc.fi,10.141.5.206,280.0229082107544,0,50,"394_beta_stoch=0.01595,mach_latent_dim=8",0.003,8,0.015950000000000002,100,1.0,1.0
61aa9_00395,0.7370331883430481,2.2205166816711426,7.311898571060738e-07,0.6900008320808411,5.291740417480469,True,,,40,8928c4d6704d4c02ac6abecd6e006e54,2022-02-13_16-24-10,1644762250,224.31142449378967,176943,g6201.mahti.csc.fi,10.141.5.206,224.31142449378967,0,40,"395_beta_stoch=0.7988,mach_latent_dim=6",0.003,6,0.7988000000000001,100,1.0,1.0
61aa9_00396,0.22360804677009583,66.66900634765625,2.263726234436035,0.6442565321922302,5.106316804885864,True,,,40,bb93ab5d2abd49c8b2fe587d3fe91699,2022-02-13_16-25-00,1644762300,219.26752090454102,184808,g6201.mahti.csc.fi,10.141.5.206,219.26752090454102,0,40,"396_beta_stoch=0.0004,mach_latent_dim=14",0.003,14,0.0004,100,1.0,1.0
61aa9_00397,0.21544714272022247,52.874961853027344,4.770239353179932,0.6269940733909607,5.4864630699157715,True,,,50,dc0c77e333ba4f038075af5e81397739,2022-02-13_16-26-33,1644762393,281.02404260635376,190248,g6201.mahti.csc.fi,10.141.5.206,281.02404260635376,0,50,"397_beta_stoch=0.00015,mach_latent_dim=14",0.003,14,0.00015000000000000001,100,1.0,1.0
61aa9_00398,0.06391710788011551,20.29932403564453,0.08100508153438568,0.5095003247261047,5.219464540481567,True,,,50,be2d5b2194f74ed4a11c732ff648ae5a,2022-02-13_16-26-38,1644762398,271.0957934856415,194014,g6201.mahti.csc.fi,10.141.5.206,271.0957934856415,0,50,"398_beta_stoch=0.0049,mach_latent_dim=7",0.003,7,0.0049,100,1.0,1.0
61aa9_00399,0.7369781732559204,5.28661584854126,1.0455214578541927e-05,0.5401921272277832,5.126851558685303,True,,,40,c709c98cb99e4c168b17ebb9d648a5ce,2022-02-13_16-25-42,1644762342,213.981112241745,194127,g6201.mahti.csc.fi,10.141.5.206,213.981112241745,0,40,"399_beta_stoch=0.1673,mach_latent_dim=9",0.003,9,0.1673,100,1.0,1.0
61aa9_00400,0.21585580706596375,7.406651496887207,4.369880480226129e-05,0.6376079320907593,5.315492868423462,True,,,50,3a0d770eeca74fb3863b35012301a5a6,2022-02-13_16-27-57,1644762477,266.4818284511566,206923,g6201.mahti.csc.fi,10.141.5.206,266.4818284511566,0,50,"400_beta_stoch=0.12505,mach_latent_dim=14",0.003,14,0.12505,100,1.0,1.0
61aa9_00401,0.22025279700756073,9.468056678771973,0.0004917652695439756,0.645211398601532,5.692196369171143,True,,,50,81aaed98de83440c86626f8c70410f01,2022-02-13_16-28-46,1644762526,273.15778493881226,214782,g6201.mahti.csc.fi,10.141.5.206,273.15778493881226,0,50,"401_beta_stoch=0.0326,mach_latent_dim=5",0.003,5,0.032600000000000004,100,1.0,1.0
61aa9_00402,0.21756967902183533,10.304323196411133,0.00025794736575335264,0.6368746161460876,5.459085702896118,True,,,50,df79ec01026845dca0862d52a8966650,2022-02-13_16-29-07,1644762547,283.09118580818176,218224,g6201.mahti.csc.fi,10.141.5.206,283.09118580818176,0,50,"402_beta_stoch=0.02255,mach_latent_dim=5",0.003,5,0.02255,100,1.0,1.0
